Abr,word,,
AC,Alternating Current,,
ACARS,Automatic Communications Addressing & Reporting System,, 
ACFT,Aircraft,,
ACR,Air Carrier,,
ADC,Air Data Computer,,
ADF,Automatic Direction Finder,,
ADG,Air Driven Generator,,
ADI,Attitude Direction Indicator,,
ADIZ,Air Defense Identification  Zone,,
AERO,Aeronautical,,
AFB,Air Force Base,,
AFD,Airport/Facility Directory,,
AFDS,Autopilot and Flight Director System,,
AFSS,Automated Flight Service Station,,
AGL,Above Ground Level,,
AIM,Aeronautical Information Manual,,
ALS,Automatic Landing System,,
ALSF-1,Standard 2400' High Intensity Approach  Lighting System With Sequenced Flashers,,
ALSF-2,Standard 2400' High Intensity Approach  Lighting System With Sequenced Flashers,,
ALTS,Altitude,,
ALT,Altitude,,
ALTDEV,Altitude Deviation,,
AM,Ante Meridiem,,
AMB,Ambiguity,,
AME,Aviation Medical Examiner,,
ANG,Air National Guard,,
APCHS,Approach,,
APCH,Approach,,
APCHED,Approach,,
APCHING,Approach,,
APCH CTL,Approach Control,,
APPROX,Approximately,,
APU,Auxiliary Power Unit,,
ARPT,Airport,,
ARPTS,Airport,,
ARR,Arrival,,
ARSR,Air Route Surveillance Radar,,
ARTCC,Air Route Traffic Control Center,,
ARTS,Automated Radar Terminal Systems,,
ASAP,As Soon As Possible,,
ASOS,Automated Surface Observation System,,
AWOS,Or Weather Observation System,,
ASR,Airport Surveillance Radar,,
ASRS,Aviation Safety Reporting System,,
ATA,Actual Time Of Arrival,,
ATA,Air Traffic Area,,
ATC,Air Traffic Control,,
ATCT,Airport Traffic Control Tower,,
ATD,Actual Time Of Departure,,
ATIS,Automatic Terminal Information Service,,
ATOG,Allowable Takeoff Gross Weight,,
ATP,Airline Transport Pilot Certificate,,
ATR,Airline Transport Rating,,
ATTN,Attention,,
AUTH,Authority/Authorized,,
AUTO,Automatic,,
AUX,Auxiliary,,
AVG,Average,,
AVGAS,Aviation Gasoline,,
AWOS,Automatic Weather Observing/Reporting System,,
BAL,Balance,,
BALS,Balance,,
BALED,Balance,,
BALING,Balance,,
BASE OPS,Base Operations Office,,
BC,Back Course,,
BCSTN,Broadcast Station,,
BFR,Biennial Flight Review,,
BKN,Broken,,
BRITE,Bright Radar Indicator Tower Equipment,,
BTWN,Between,,
C,Celsius,,
CAB,Cabin Attendant,,
CADC,Central Air Data Computer,,
CAP,Civil Air Patrol,,
CAPT,Captain,,
CARB,Carburetor,,
CAT,Category,,
CAT,Clear Air Turbulence,,
CAWS,Central Aural Warning System,,
CB,Circuit Breaker,,
CD,Clearance Delivery,,
CDI,Course Deviation Indicator,,
CDT,Central Daylight Time,,
CDU,Control Display Unit,,
CFI,Certified Flight Instructor,,
CFIT,Controlled Flight Into Terrain,,
CFR,Crash Fire Rescue Equipment,,
CGP,Company Ground Personnel,,
CHK,Check,,
CHKS,Check,,
CHKED,Check,,
CHKING,Check,,
CIC,Controller In Charge,,
CLB,Climb,,
CLBS,Climb,,
CLBED,Climb,,
CLBING,Climb,,
CLR,Clear,,
CLRS,Clear,,
CLRD,Clear,,
CLRED,Clear,,
CLRING,Clear,,
CLRNC,Clearance,,
COM,Communication,,
COMS,Communication,,
CONFIG,Configuration,,
COORD,Coordination,,
CPU,Central Processing Unit,,
CRM,Cockpit Resource Management,,
CRT,Cathode Ray Tube,,
CSD,Constant Speed Drive,,
CST,Central Standard Time,,
CTAF,Common Traffic Advisory Frequency,,
CTL,Control,,
CTLS,Control,,
CONTROLRs,controller,,
NW,north west,,
COPLT,copilot,,
CONTROLR,controller,,
CTLED,Control,,
CTLING,Control,,
CTLR,Controller,,
CTLRS,Controller,,
CTLR'S,Controller,,
CTR,Center,,
DB,Decibel,,
DCU,Data Control Unit,,
DEG,Degree,,
DEGS,Degree,,
DEMO,Demonstration,,
